id,pecha_collection_id,title
692570c65bec0cce65283196,rw8oWUd1WtwqeD2x0ZMSm,Discourses
692570c65bec0cce65283197,D91TlgRqpZGCOfywaHRvV,Perfection of Wisdom
692570c75bec0cce65283198,kj8dljKGdBUuL4GkkVXbB,Middle Way
692570c75bec0cce65283199,dDaSsoUHtVMbqs1V6Nolb,Mind-only Treatises
692570c85bec0cce6528319a,iGzbJ0D6zdyccIv2gnXeI,Systematic Treatises
692570c85bec0cce6528319b,yteMP9CDaB50HjkAfiPQg,Tantras
692570c95bec0cce6528319c,ydyRYjywMRqObgphDY7tQ,Logic
692570ca5bec0cce6528319d,dJpr4gMF72E4UpCnJ84sh,Liturgy
692570ca5bec0cce6528319e,ng52I3dhJn7BmNiH2fxay,Mind Trainings and Advices
692570cb5bec0cce6528319f,v9L6V602pSzwFquYhJImq,History and Stories
692570cb5bec0cce652831a0,9UBgNbGvHmV7w6dawmZGy,Medicine
692570cb5bec0cce652831a1,iRPrnRONBK20qn1Qs1Dbu,Monastic Rules
692570cc5bec0cce652831a2,fez3f7Nha5JBIdHh2yE8s,Linguistics Treatises
692570cc5bec0cce652831a3,sINrgvK11RMzQ9Egls8Ni,Miscenaleous
