id,pecha_collection_id,title
692876ab70bf66f003b07d68,rw8oWUd1WtwqeD2x0ZMSm,Discourses
692876ab70bf66f003b07d69,D91TlgRqpZGCOfywaHRvV,Perfection of Wisdom
692876ab70bf66f003b07d6a,kj8dljKGdBUuL4GkkVXbB,Middle Way
692876ac70bf66f003b07d6b,dDaSsoUHtVMbqs1V6Nolb,Mind-only Treatises
692876ac70bf66f003b07d6c,iGzbJ0D6zdyccIv2gnXeI,Systematic Treatises
692876ad70bf66f003b07d6d,yteMP9CDaB50HjkAfiPQg,Tantras
692876ad70bf66f003b07d6e,ydyRYjywMRqObgphDY7tQ,Logic
692876ae70bf66f003b07d6f,dJpr4gMF72E4UpCnJ84sh,Liturgy
692876ae70bf66f003b07d70,ng52I3dhJn7BmNiH2fxay,Mind Trainings and Advices
692876ae70bf66f003b07d71,v9L6V602pSzwFquYhJImq,History and Stories
692876af70bf66f003b07d72,9UBgNbGvHmV7w6dawmZGy,Medicine
692876af70bf66f003b07d73,iRPrnRONBK20qn1Qs1Dbu,Monastic Rules
692876af70bf66f003b07d74,fez3f7Nha5JBIdHh2yE8s,Linguistics Treatises
692876b070bf66f003b07d75,sINrgvK11RMzQ9Egls8Ni,Miscenaleous
